Statistical profiling result from isolate-000001430FB82000-5616-v8.log, (8524 ticks, 34 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      2    0.0%    0.2%  Builtin: GreaterThan_Baseline
      2    0.0%    0.2%  Builtin: FindNonDefaultConstructorOrConstruct
      2    0.0%    0.2%  Builtin: FastNewObject
      2    0.0%    0.2%  Builtin: FastNewClosure
      2    0.0%    0.2%  Builtin: DefineNamedOwnIC
      2    0.0%    0.2%  Builtin: ConstructFunction
      2    0.0%    0.2%  Builtin: Call_ReceiverIsNullOrUndefined_Baseline_Compact
      2    0.0%    0.2%  Builtin: CallWithArrayLike
      2    0.0%    0.2%  Builtin: AsyncFunctionEnter
      1    0.0%    0.1%  RegExp: ^[\^_`a-zA-Z\-0-9!#$%&'*+.|~]+$
      1    0.0%    0.1%  RegExp: ^[ -~]*$
      1    0.0%    0.1%  RegExp: ..
      1    0.0%    0.1%  JS: ~readMicroblockPart C:\www\carmentis-node\abci\dist\src\carmentis\abci\Storage.js:165:29
      1    0.0%    0.1%  JS: ^writeBytesBuffer_set C:\www\carmentis-node\abci\node_modules\protobufjs\src\writer_buffer.js:30:40
      1    0.0%    0.1%  JS: ^update C:\www\carmentis-node\abci\dist\src\carmentis\abci\AccountManager.js:82:17
      1    0.0%    0.1%  JS: ^stringToFlags node:internal/fs/utils:595:23
      1    0.0%    0.1%  JS: ^storeMicroblock C:\www\carmentis-core\dist\server\index.cjs:36380:20
      1    0.0%    0.1%  JS: ^store C:\www\carmentis-core\dist\server\index.cjs:11437:10
      1    0.0%    0.1%  JS: ^sendStatus C:\www\carmentis-node\abci\node_modules\@grpc\grpc-js\build\src\server-interceptors.js:681:15
      1    0.0%    0.1%  JS: ^push node:internal/fixed_queue:76:7
      1    0.0%    0.1%  JS: ^processChallenge C:\www\carmentis-node\abci\dist\src\carmentis\abci\Storage.js:178:27
      1    0.0%    0.1%  JS: ^process C:\www\carmentis-core\dist\server\index.cjs:3264:12
      1    0.0%    0.1%  JS: ^load C:\www\carmentis-core\dist\server\index.cjs:7584:9
      1    0.0%    0.1%  JS: ^getDefaultTriggerAsyncId node:internal/async_hooks:433:34
      1    0.0%    0.1%  JS: ^getAccountByPublicKeyHash C:\www\carmentis-node\abci\dist\src\carmentis\abci\NodeProvider.js:27:36
      1    0.0%    0.1%  JS: ^get node:net:2446:6
      1    0.0%    0.1%  JS: ^get node:internal/util:632:17
      1    0.0%    0.1%  JS: ^encode node:internal/encoding:351:9
      1    0.0%    0.1%  JS: ^emitCloseNT node:internal/streams/destroy:133:21
      1    0.0%    0.1%  JS: ^decodeVirtualBlockchainState C:\www\carmentis-core\dist\server\index.cjs:10725:38
      1    0.0%    0.1%  JS: ^createPublicSignatureKey C:\www\carmentis-core\dist\server\index.cjs:5632:36
      1    0.0%    0.1%  JS: ^createDbFile C:\www\carmentis-node\abci\dist\src\carmentis\abci\SnapshotsManager.js:177:23
      1    0.0%    0.1%  JS: ^buildNgHeaderString node:internal/http2/util:754:29
      1    0.0%    0.1%  JS: ^addHistoryEntry C:\www\carmentis-node\abci\dist\src\carmentis\abci\AccountManager.js:111:26
      1    0.0%    0.1%  JS: ^_getMaxListeners node:events:420:26
      1    0.0%    0.1%  JS: ^_destroy node:internal/http2/core:2422:11
      1    0.0%    0.1%  JS: ^SafeSubscriber C:\www\carmentis-node\abci\node_modules\rxjs\dist\cjs\internal\Subscriber.js:149:28
      1    0.0%    0.1%  JS: ^Readable.pause node:internal/streams/readable:1267:36
      1    0.0%    0.1%  JS: ^<anonymous> node:internal/http2/core:2231:21
      1    0.0%    0.1%  JS: ^<anonymous> C:\www\carmentis-core\dist\server\index.cjs:7888:58
      1    0.0%    0.1%  JS: ^<anonymous> C:\www\carmentis-core\dist\server\index.cjs:6471:18
      1    0.0%    0.1%  JS: ^<anonymous> C:\www\carmentis-core\dist\server\index.cjs:6449:17
      1    0.0%    0.1%  JS: ^<anonymous> C:\www\carmentis-core\dist\server\index.cjs:36411:58
      1    0.0%    0.1%  JS: *writeVarint32 C:\www\carmentis-node\abci\node_modules\protobufjs\src\writer.js:176:23
      1    0.0%    0.1%  JS: *writeByte C:\www\carmentis-core\dist\server\index.cjs:6620:14
      1    0.0%    0.1%  JS: *valueEncoding C:\www\carmentis-node\abci\node_modules\abstract-level\abstract-level.js:125:17
      1    0.0%    0.1%  JS: *toHeaderObject node:internal/http2/util:884:24
      1    0.0%    0.1%  JS: *stringifyMessage C:\www\carmentis-node\abci\node_modules\@nestjs\common\services\console-logger.service.js:195:21
      1    0.0%    0.1%  JS: *sha256AsBinary C:\www\carmentis-core\dist\server\index.cjs:7052:24
      1    0.0%    0.1%  JS: *setToStorage C:\www\carmentis-node\abci\dist\src\carmentis\abci\RadixTree.js:39:23
      1    0.0%    0.1%  JS: *set node:internal/streams/readable:133:8
      1    0.0%    0.1%  JS: *resolve node:path:204:10
      1    0.0%    0.1%  JS: *read_uint32 C:\www\carmentis-node\abci\node_modules\protobufjs\src\reader.js:88:32
      1    0.0%    0.1%  JS: *readMicroblock C:\www\carmentis-node\abci\dist\src\carmentis\abci\Storage.js:147:25
      1    0.0%    0.1%  JS: *push node:internal/fixed_queue:76:7
      1    0.0%    0.1%  JS: *processImmediate node:internal/timers:437:28
      1    0.0%    0.1%  JS: *once node:events:652:44
      1    0.0%    0.1%  JS: *now node:internal/perf/performance:137:6
      1    0.0%    0.1%  JS: *newAsyncId node:internal/async_hooks:417:20
      1    0.0%    0.1%  JS: *log node:internal/console/constructor:380:6
      1    0.0%    0.1%  JS: *log C:\www\carmentis-node\abci\node_modules\@nestjs\common\services\console-logger.service.js:50:8
      1    0.0%    0.1%  JS: *join node:path:502:7
      1    0.0%    0.1%  JS: *isUnsignedInteger C:\www\carmentis-core\dist\server\index.cjs:6299:22
      1    0.0%    0.1%  JS: *isBinary C:\www\carmentis-core\dist\server\index.cjs:6308:13
      1    0.0%    0.1%  JS: *getVirtualBlockchainState C:\www\carmentis-node\abci\dist\src\carmentis\abci\NodeProvider.js:24:36
      1    0.0%    0.1%  JS: *getRaw C:\www\carmentis-node\abci\dist\src\carmentis\abci\database\LevelDb.js:60:17
      1    0.0%    0.1%  JS: *getPublicKey C:\www\carmentis-core\dist\server\index.cjs:8710:17
      1    0.0%    0.1%  JS: *get hasSubscribers node:diagnostics_channel:208:21
      1    0.0%    0.1%  JS: *get C:\www\carmentis-node\abci\node_modules\abstract-level\abstract-level.js:302:13
      1    0.0%    0.1%  JS: *get C:\www\carmentis-node\abci\dist\src\carmentis\abci\NodeProvider.js:40:14
      1    0.0%    0.1%  JS: *fsCall node:internal/fs/promises:454:22
      1    0.0%    0.1%  JS: *fromValueWithBigInt C:\www\carmentis-node\abci\node_modules\long\umd\index.js:1604:52
      1    0.0%    0.1%  JS: *emitCloseNT node:internal/streams/destroy:133:21
      1    0.0%    0.1%  JS: *del C:\www\carmentis-node\abci\node_modules\abstract-level\abstract-chained-batch.js:164:7
      1    0.0%    0.1%  JS: *checkMicroblock C:\www\carmentis-node\abci\dist\src\carmentis\abci\AbciService.js:688:26
      1    0.0%    0.1%  JS: *check C:\www\carmentis-core\dist\server\index.cjs:6218:10
      1    0.0%    0.1%  JS: *binaryToHexa C:\www\carmentis-core\dist\server\index.cjs:6427:22
      1    0.0%    0.1%  JS: *_write node:internal/streams/writable:453:16
      1    0.0%    0.1%  JS: *WritableState node:internal/streams/writable:304:23
      1    0.0%    0.1%  JS: *Writable.write node:internal/streams/writable:504:36
      1    0.0%    0.1%  JS: *SchemaUnserializer C:\www\carmentis-core\dist\server\index.cjs:6943:16
      1    0.0%    0.1%  JS: *Readable.pause node:internal/streams/readable:1267:36
      1    0.0%    0.1%  JS: *Readable.on node:internal/streams/readable:1127:33
      1    0.0%    0.1%  JS: *FieldDescriptorProto$decode :3:44
      1    0.0%    0.1%  JS: *EventEmitter node:events:220:22
      1    0.0%    0.1%  JS: *<anonymous> node:internal/fs/utils:730:42
      1    0.0%    0.1%  JS: *<anonymous> node:internal/fs/promises:412:9
      1    0.0%    0.1%  JS: *<anonymous> C:\www\carmentis-node\abci\node_modules\abstract-level\abstract-iterator.js:258:34
      1    0.0%    0.1%  JS: *<anonymous> C:\www\carmentis-node\abci\node_modules\@grpc\grpc-js\build\src\server-interceptors.js:695:50
      1    0.0%    0.1%  JS: *<anonymous> C:\www\carmentis-core\dist\server\index.cjs:7840:58
      1    0.0%    0.1%  JS: *<anonymous> C:\www\carmentis-core\dist\server\index.cjs:11398:58
      1    0.0%    0.1%  Builtin: Typeof
      1    0.0%    0.1%  Builtin: TypedArrayPrototypeSubArray
      1    0.0%    0.1%  Builtin: TypedArrayPrototypeSlice
      1    0.0%    0.1%  Builtin: ToString
      1    0.0%    0.1%  Builtin: StringToLowerCaseIntl
      1    0.0%    0.1%  Builtin: StringSlowFlatten
      1    0.0%    0.1%  Builtin: StringRepeat
      1    0.0%    0.1%  Builtin: StringIndexOf
      1    0.0%    0.1%  Builtin: StringEqual
      1    0.0%    0.1%  Builtin: StringAddConvertRight
      1    0.0%    0.1%  Builtin: StoreFastElementIC_NoTransitionGrowAndHandleCOW
      1    0.0%    0.1%  Builtin: StoreFastElementIC_InBounds
      1    0.0%    0.1%  Builtin: ShiftRightSmi_Baseline
      1    0.0%    0.1%  Builtin: ShiftRightLogicalSmi_Baseline
      1    0.0%    0.1%  Builtin: SetIteratorPrototypeNext
      1    0.0%    0.1%  Builtin: SetDataProperties
      1    0.0%    0.1%  Builtin: ResumeGeneratorBaseline
      1    0.0%    0.1%  Builtin: PromiseConstructor
      1    0.0%    0.1%  Builtin: ObjectPrototypeHasOwnProperty
      1    0.0%    0.1%  Builtin: Multiply_Baseline
      1    0.0%    0.1%  Builtin: MultiplySmi_Baseline
      1    0.0%    0.1%  Builtin: Modulus_Baseline
      1    0.0%    0.1%  Builtin: LoadIC_FunctionPrototype
      1    0.0%    0.1%  Builtin: LoadGlobalICBaseline
      1    0.0%    0.1%  Builtin: LoadGlobalIC
      1    0.0%    0.1%  Builtin: KeyedStoreICTrampoline_Megamorphic
      1    0.0%    0.1%  Builtin: KeyedLoadICTrampoline
      1    0.0%    0.1%  Builtin: KeyedLoadICBaseline
      1    0.0%    0.1%  Builtin: KeyedHasIC_PolymorphicName
      1    0.0%    0.1%  Builtin: JSConstructStubGeneric
      1    0.0%    0.1%  Builtin: Increment_Baseline
      1    0.0%    0.1%  Builtin: GreaterThanOrEqual_Baseline
      1    0.0%    0.1%  Builtin: GeneratorPrototypeNext
      1    0.0%    0.1%  Builtin: ForInNext
      1    0.0%    0.1%  Builtin: ForInFilter
      1    0.0%    0.1%  Builtin: FastNewClosureBaseline
      1    0.0%    0.1%  Builtin: Equal_Baseline
      1    0.0%    0.1%  Builtin: DefineNamedOwnICTrampoline
      1    0.0%    0.1%  Builtin: DefineNamedOwnICBaseline
      1    0.0%    0.1%  Builtin: Decrement_Baseline
      1    0.0%    0.1%  Builtin: DateConstructor
      1    0.0%    0.1%  Builtin: DataViewPrototypeSetBigUint64
      1    0.0%    0.1%  Builtin: Construct_Baseline
      1    0.0%    0.1%  Builtin: CloneFastJSArrayFillingHoles
      1    0.0%    0.1%  Builtin: CallBoundFunction
      1    0.0%    0.1%  Builtin: CEntry_Return1_ArgvOnStack_BuiltinExit
      1    0.0%    0.1%  Builtin: AsyncGeneratorYieldWithAwait
      1    0.0%    0.1%  Builtin: ArrayUnshift
      1    0.0%    0.1%  Builtin: ArrayPrototypeReverse
      1    0.0%    0.1%  Builtin: ArrayBufferConstructor
      1    0.0%    0.1%  Builtin: AddSmi_Baseline
      1    0.0%    0.1%  Builtin: AdaptorWithBuiltinExitFrame

 [C++]:
   ticks  total  nonlib   name

 [Summary]:
   ticks  total  nonlib   name
    967   11.3%   96.6%  JavaScript
      0    0.0%    0.0%  C++
    125    1.5%   12.5%  GC
   7523   88.3%          Shared libraries
     34    0.4%          Unaccounted

 [C++ entry points]:
   ticks    cpp   total   name

 [Bottom up (heavy) profile]:
  Note: percentage shows a share of a particular caller in the total
  amount of its parent calls.
  Callers occupying less than 1.0% are not shown.

   ticks parent  name
   6118   71.8%  C:\WINDOWS\SYSTEM32\ntdll.dll
   3025   49.4%    C:\Program Files\nodejs\node.exe
   1112   36.8%      JS: *write node:internal/fs/promises:721:21
    628   56.5%        JS: *fsCall node:internal/fs/promises:454:22
    628  100.0%          JS: *createDbFile C:\www\carmentis-node\abci\dist\src\carmentis\abci\SnapshotsManager.js:177:23
    628  100.0%            Builtin: AsyncFunctionAwaitResolveClosure
    256   23.0%        JS: *write node:internal/fs/promises:229:8
    232   90.6%          JS: ^createDbFile C:\www\carmentis-node\abci\dist\src\carmentis\abci\SnapshotsManager.js:177:23
    232  100.0%            Builtin: AsyncFunctionAwaitResolveClosure
     21    8.2%          JS: ^create C:\www\carmentis-node\abci\dist\src\carmentis\abci\SnapshotChunksFile.js:18:17
     21  100.0%            Builtin: AsyncFunctionAwaitResolveClosure
      3    1.2%          JS: ^flush C:\www\carmentis-node\abci\dist\src\carmentis\abci\Storage.js:100:16
      3  100.0%            Builtin: AsyncFunctionAwaitResolveClosure
    228   20.5%        JS: *createDbFile C:\www\carmentis-node\abci\dist\src\carmentis\abci\SnapshotsManager.js:177:23
    228  100.0%          Builtin: AsyncFunctionAwaitResolveClosure
    855   28.3%      JS: *read node:internal/fs/promises:648:20
    596   69.7%        JS: *processChallenge C:\www\carmentis-node\abci\dist\src\carmentis\abci\Storage.js:178:27
    596  100.0%          Builtin: AsyncFunctionAwaitResolveClosure
    170   19.9%        JS: *read C:\www\carmentis-node\abci\dist\src\carmentis\abci\ChallengeFile.js:31:15
    170  100.0%          JS: ^processChallenge C:\www\carmentis-node\abci\dist\src\carmentis\abci\Storage.js:178:27
    170  100.0%            Builtin: AsyncFunctionAwaitResolveClosure
     53    6.2%        JS: *readMicroblockPart C:\www\carmentis-node\abci\dist\src\carmentis\abci\Storage.js:165:29
     53  100.0%          JS: *readMicroblock C:\www\carmentis-node\abci\dist\src\carmentis\abci\Storage.js:147:25
     53  100.0%            Builtin: AsyncFunctionAwaitResolveClosure
     36    4.2%        JS: *read node:internal/fs/promises:198:7
     18   50.0%          JS: ^readMicroblockPart C:\www\carmentis-node\abci\dist\src\carmentis\abci\Storage.js:165:29
     18  100.0%            JS: ^readMicroblock C:\www\carmentis-node\abci\dist\src\carmentis\abci\Storage.js:147:25
     18   50.0%          JS: ^read C:\www\carmentis-node\abci\dist\src\carmentis\abci\ChallengeFile.js:31:15
     18  100.0%            JS: ^processChallenge C:\www\carmentis-node\abci\dist\src\carmentis\abci\Storage.js:178:27
    253    8.4%      JS: *getFilePath C:\www\carmentis-node\abci\dist\src\carmentis\abci\Storage.js:240:16
    211   83.4%        JS: *readMicroblock C:\www\carmentis-node\abci\dist\src\carmentis\abci\Storage.js:147:25
    211  100.0%          Builtin: AsyncFunctionAwaitResolveClosure
     31   12.3%        JS: ^writeMicroblock C:\www\carmentis-node\abci\dist\src\carmentis\abci\Storage.js:70:26
     31  100.0%          JS: ^processBlock C:\www\carmentis-node\abci\dist\src\carmentis\abci\AbciService.js:516:23
     31  100.0%            Builtin: AsyncFunctionAwaitResolveClosure
      8    3.2%        JS: ^readMicroblock C:\www\carmentis-node\abci\dist\src\carmentis\abci\Storage.js:147:25
      8  100.0%          Builtin: AsyncFunctionAwaitResolveClosure
    196    6.5%      JS: *Socket._write node:net:977:35
    136   69.4%        JS: *writeOrBuffer node:internal/streams/writable:548:23
    118   86.8%          JS: *Writable.write node:internal/streams/writable:504:36
     95   80.5%            JS: *log node:internal/console/constructor:380:6
     16   13.6%            JS: ^value node:internal/console/constructor:270:20
      7    5.9%            JS: ^<anonymous> C:\www\carmentis-node\abci\node_modules\@nestjs\common\services\console-logger.service.js:139:26
     18   13.2%          JS: ^_write node:internal/streams/writable:453:16
     18  100.0%            JS: *printMessages C:\www\carmentis-node\abci\node_modules\@nestjs\common\services\console-logger.service.js:138:18
     46   23.5%        JS: *_write node:internal/streams/writable:453:16
     46  100.0%          JS: *printMessages C:\www\carmentis-node\abci\node_modules\@nestjs\common\services\console-logger.service.js:138:18
     30   65.2%            JS: *log C:\www\carmentis-node\abci\node_modules\@nestjs\common\services\console-logger.service.js:50:8
     16   34.8%            JS: *debug C:\www\carmentis-node\abci\node_modules\@nestjs\common\services\console-logger.service.js:78:10
     14    7.1%        JS: ^writeOrBuffer node:internal/streams/writable:548:23
     14  100.0%          JS: *Writable.write node:internal/streams/writable:504:36
     14  100.0%            JS: ^value node:internal/console/constructor:270:20
    193    6.4%      JS: *get C:\www\carmentis-node\abci\node_modules\abstract-level\abstract-level.js:302:13
    193  100.0%        JS: *get C:\www\carmentis-node\abci\node_modules\abstract-level\abstract-level.js:302:13
     71   36.8%          JS: *getObject C:\www\carmentis-node\abci\dist\src\carmentis\abci\database\CachedLevelDb.js:50:20
     69   97.2%            JS: *readMicroblock C:\www\carmentis-node\abci\dist\src\carmentis\abci\Storage.js:147:25
      2    2.8%            JS: ^readMicroblock C:\www\carmentis-node\abci\dist\src\carmentis\abci\Storage.js:147:25
     40   20.7%          JS: *getRaw C:\www\carmentis-node\abci\dist\src\carmentis\abci\database\LevelDb.js:60:17
     27   67.5%            JS: *getVirtualBlockchainState C:\www\carmentis-node\abci\dist\src\carmentis\abci\NodeProvider.js:24:36
      5   12.5%            JS: ^loadAccountByPublicKeyHash C:\www\carmentis-node\abci\dist\src\carmentis\abci\AccountManager.js:142:37
