Statistical profiling result from isolate-000001D42F661000-67156-v8.log, (37350 ticks, 52 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.1%  JS: *invokeSectionPostUpdateCallback C:\www\carmentis-node\abci\dist\src\carmentis\abci\AbciService.js:179:42
      1    0.0%    0.1%  JS: *intToByteArray C:\www\carmentis-core\dist\server\index.cjs:6510:24
      1    0.0%    0.1%  JS: *hasHooks node:internal/async_hooks:470:18
      1    0.0%    0.1%  JS: *getVirtualBlockchainUpdate C:\www\carmentis-core\dist\server\index.cjs:37367:31
      1    0.0%    0.1%  JS: *getRaw C:\www\carmentis-node\abci\dist\src\carmentis\abci\database\LevelDb.js:60:17
      1    0.0%    0.1%  JS: *getFilePath C:\www\carmentis-node\abci\dist\src\carmentis\abci\Storage.js:241:16
      1    0.0%    0.1%  JS: *get node:internal/streams/readable:1415:8
      1    0.0%    0.1%  JS: *get node:internal/bootstrap/node:437:8
      1    0.0%    0.1%  JS: *get closed node:internal/http2/core:2385:13
      1    0.0%    0.1%  JS: *formatWithOptionsInternal node:internal/util/inspect:2288:35
      1    0.0%    0.1%  JS: *formatPrimitive node:internal/util/inspect:1715:25
      1    0.0%    0.1%  JS: *extractValue C:\www\carmentis-node\abci\node_modules\@nestjs\microservices\context\rpc-context-creator.js:97:34
      1    0.0%    0.1%  JS: *done node:internal/http2/core:2270:18
      1    0.0%    0.1%  JS: *colorize C:\www\carmentis-node\abci\node_modules\@nestjs\common\services\console-logger.service.js:218:13
      1    0.0%    0.1%  JS: *checkMicroblock C:\www\carmentis-node\abci\dist\src\carmentis\abci\AbciService.js:689:26
      1    0.0%    0.1%  JS: *checkGas C:\www\carmentis-core\dist\server\index.cjs:11414:13
      1    0.0%    0.1%  JS: *binaryIsEqual C:\www\carmentis-core\dist\server\index.cjs:6479:23
      1    0.0%    0.1%  JS: *aexists C:\www\carmentis-core\dist\server\index.cjs:2658:17
      1    0.0%    0.1%  JS: *addCallStarted C:\www\carmentis-node\abci\node_modules\@grpc\grpc-js\build\src\channelz.js:178:19
      1    0.0%    0.1%  JS: *abytes$1 C:\www\carmentis-core\dist\server\index.cjs:2644:18
      1    0.0%    0.1%  JS: *_addListener node:events:547:22
      1    0.0%    0.1%  JS: *__awaiter C:\www\carmentis-core\dist\server\index.cjs:35:19
      1    0.0%    0.1%  JS: *WritableState node:internal/streams/writable:304:23
      1    0.0%    0.1%  JS: *Writable.end node:internal/streams/writable:808:34
      1    0.0%    0.1%  JS: *Socket._write node:net:977:35
      1    0.0%    0.1%  JS: *SafeIterator node:internal/per_context/primordials:328:16
      1    0.0%    0.1%  JS: *Readable.removeListener node:internal/streams/readable:1159:45
      1    0.0%    0.1%  JS: *Readable.push node:internal/streams/readable:387:35
